Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Rape,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-04-05,2.0,6.0,42.0,1.0,4.0,1.0,5.0,16.0,6.0,16.0,28.0,2.0,1.0,12.0,4.0,2.0,16.0,23.0,20.0,1.0
2006-04-06,9.0,12.0,43.0,3.0,10.0,3.0,4.0,8.0,10.0,19.0,41.0,,3.0,16.0,6.0,6.0,22.0,18.0,21.0,3.0
2006-04-07,7.0,9.0,23.0,1.0,15.0,3.0,6.0,14.0,10.0,17.0,28.0,1.0,,13.0,3.0,5.0,19.0,24.0,25.0,2.0
2006-04-08,1.0,10.0,76.0,4.0,10.0,10.0,4.0,6.0,8.0,19.0,10.0,1.0,1.0,15.0,7.0,9.0,16.0,18.0,23.0,3.0
2006-04-09,1.0,6.0,83.0,1.0,5.0,9.0,6.0,3.0,9.0,17.0,32.0,4.0,,8.0,8.0,4.0,20.0,15.0,27.0,
2006-04-10,3.0,11.0,104.0,,11.0,4.0,2.0,19.0,8.0,12.0,18.0,3.0,4.0,11.0,2.0,3.0,20.0,25.0,36.0,
2006-04-11,2.0,9.0,80.0,3.0,11.0,1.0,5.0,10.0,14.0,19.0,25.0,2.0,1.0,9.0,4.0,2.0,17.0,27.0,38.0,2.0
2006-04-12,4.0,8.0,57.0,3.0,11.0,3.0,,8.0,10.0,17.0,23.0,1.0,1.0,11.0,5.0,5.0,20.0,18.0,23.0,2.0
2006-04-13,3.0,6.0,127.0,1.0,7.0,5.0,4.0,15.0,10.0,20.0,21.0,1.0,3.0,8.0,6.0,6.0,20.0,12.0,22.0,4.0
2006-04-14,6.0,12.0,80.0,1.0,4.0,11.0,6.0,15.0,8.0,18.0,21.0,1.0,,13.0,3.0,7.0,21.0,24.0,29.0,3.0
2006-04-15,4.0,11.0,86.0,3.0,10.0,14.0,3.0,8.0,9.0,9.0,28.0,1.0,1.0,8.0,8.0,2.0,20.0,25.0,28.0,1.0
2006-04-16,4.0,13.0,69.0,6.0,7.0,8.0,6.0,5.0,6.0,3.0,25.0,,1.0,5.0,6.0,4.0,23.0,19.0,20.0,3.0
2006-04-17,8.0,9.0,58.0,5.0,11.0,4.0,3.0,16.0,12.0,9.0,36.0,1.0,,4.0,9.0,4.0,12.0,18.0,29.0,2.0
2006-04-18,3.0,8.0,49.0,3.0,13.0,4.0,4.0,18.0,12.0,28.0,37.0,4.0,,12.0,6.0,8.0,13.0,27.0,18.0,4.0
2006-04-19,10.0,6.0,56.0,4.0,11.0,3.0,5.0,12.0,7.0,22.0,31.0,1.0,1.0,8.0,5.0,12.0,23.0,24.0,30.0,5.0
2006-04-20,3.0,10.0,44.0,1.0,9.0,5.0,8.0,13.0,13.0,16.0,39.0,4.0,,10.0,9.0,2.0,14.0,30.0,25.0,2.0
2006-04-21,4.0,8.0,35.0,1.0,12.0,5.0,3.0,13.0,12.0,14.0,46.0,2.0,,12.0,4.0,6.0,20.0,21.0,35.0,4.0
