Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-02-27,2.0,11.0,53.0,9.0,12.0,6.0,4.0,22.0,19.0,31.0,52.0,3.0,,17.0,8.0,10.0,28.0,33.0,37.0,11.0
2006-02-28,5.0,11.0,75.0,4.0,8.0,9.0,5.0,28.0,15.0,32.0,46.0,5.0,4.0,31.0,5.0,11.0,30.0,43.0,40.0,9.0
2006-03-01,4.0,14.0,89.0,2.0,12.0,9.0,13.0,26.0,10.0,42.0,66.0,7.0,4.0,20.0,6.0,16.0,28.0,37.0,24.0,3.0
2006-03-02,5.0,16.0,58.0,7.0,11.0,5.0,9.0,23.0,10.0,41.0,63.0,4.0,5.0,17.0,6.0,6.0,29.0,33.0,28.0,6.0
2006-03-03,6.0,12.0,60.0,6.0,8.0,12.0,1.0,18.0,10.0,31.0,48.0,1.0,5.0,18.0,9.0,7.0,22.0,21.0,45.0,2.0
2006-03-04,9.0,7.0,64.0,4.0,9.0,18.0,7.0,7.0,15.0,25.0,57.0,1.0,3.0,25.0,8.0,12.0,28.0,41.0,45.0,4.0
2006-03-05,4.0,18.0,176.0,2.0,11.0,17.0,9.0,3.0,23.0,40.0,51.0,,,19.0,5.0,15.0,34.0,23.0,41.0,3.0
2006-03-06,4.0,11.0,79.0,6.0,25.0,7.0,7.0,17.0,23.0,34.0,63.0,4.0,,24.0,5.0,16.0,31.0,35.0,57.0,8.0
2006-03-07,5.0,10.0,80.0,3.0,14.0,8.0,10.0,27.0,20.0,57.0,68.0,3.0,,33.0,9.0,8.0,31.0,30.0,35.0,9.0
2006-03-08,5.0,13.0,72.0,6.0,19.0,9.0,8.0,29.0,23.0,46.0,82.0,3.0,2.0,21.0,8.0,13.0,35.0,29.0,31.0,8.0
2006-03-09,9.0,21.0,95.0,8.0,18.0,5.0,9.0,16.0,12.0,35.0,69.0,2.0,,21.0,11.0,15.0,36.0,33.0,41.0,9.0
2006-03-10,4.0,18.0,64.0,4.0,13.0,7.0,12.0,22.0,15.0,26.0,60.0,9.0,2.0,19.0,5.0,11.0,26.0,35.0,38.0,6.0
2006-03-11,15.0,19.0,125.0,3.0,10.0,13.0,9.0,12.0,13.0,27.0,66.0,5.0,,17.0,10.0,12.0,37.0,34.0,49.0,5.0
2006-03-12,4.0,13.0,140.0,7.0,10.0,20.0,7.0,5.0,15.0,23.0,43.0,2.0,,17.0,8.0,13.0,33.0,28.0,41.0,2.0
2006-03-13,3.0,17.0,66.0,11.0,20.0,11.0,13.0,34.0,14.0,26.0,70.0,,,29.0,10.0,13.0,44.0,36.0,46.0,12.0
2006-03-14,2.0,18.0,86.0,8.0,23.0,6.0,3.0,23.0,14.0,48.0,82.0,7.0,6.0,19.0,7.0,6.0,24.0,28.0,48.0,7.0
2006-03-15,3.0,9.0,87.0,3.0,21.0,6.0,7.0,27.0,19.0,53.0,66.0,4.0,4.0,20.0,6.0,8.0,16.0,35.0,34.0,8.0
2006-03-16,7.0,15.0,85.0,10.0,19.0,8.0,11.0,26.0,17.0,43.0,68.0,6.0,4.0,16.0,5.0,6.0,23.0,37.0,36.0,7.0
2006-03-17,6.0,15.0,63.0,5.0,24.0,6.0,4.0,18.0,18.0,31.0,56.0,2.0,6.0,18.0,9.0,13.0,36.0,38.0,39.0,9.0
2006-03-18,8.0,13.0,100.0,4.0,17.0,20.0,6.0,15.0,16.0,38.0,56.0,2.0,5.0,14.0,7.0,10.0,27.0,35.0,56.0,11.0
2006-03-19,8.0,15.0,125.0,2.0,14.0,13.0,7.0,13.0,21.0,22.0,61.0,2.0,,14.0,10.0,8.0,28.0,36.0,58.0,2.0
2006-03-20,8.0,10.0,75.0,4.0,24.0,9.0,3.0,19.0,19.0,21.0,65.0,4.0,,30.0,3.0,8.0,28.0,42.0,46.0,7.0
2006-03-21,9.0,16.0,78.0,4.0,17.0,5.0,13.0,34.0,18.0,42.0,62.0,2.0,2.0,22.0,10.0,11.0,30.0,33.0,53.0,8.0
2006-03-22,3.0,12.0,76.0,6.0,19.0,1.0,12.0,29.0,14.0,33.0,55.0,2.0,6.0,20.0,5.0,8.0,31.0,34.0,48.0,7.0
2006-03-23,3.0,14.0,71.0,4.0,14.0,6.0,11.0,24.0,20.0,41.0,56.0,8.0,4.0,17.0,6.0,6.0,34.0,47.0,45.0,7.0
2006-03-24,4.0,21.0,79.0,7.0,12.0,7.0,8.0,16.0,19.0,40.0,71.0,2.0,5.0,16.0,11.0,12.0,35.0,43.0,46.0,6.0
2006-03-25,5.0,17.0,106.0,3.0,19.0,15.0,8.0,12.0,19.0,24.0,52.0,1.0,,17.0,11.0,8.0,35.0,28.0,42.0,4.0
2006-03-26,4.0,21.0,89.0,2.0,10.0,10.0,6.0,4.0,24.0,31.0,52.0,7.0,,18.0,14.0,2.0,34.0,25.0,66.0,4.0
2006-03-27,8.0,9.0,80.0,8.0,24.0,10.0,6.0,18.0,18.0,29.0,77.0,4.0,,26.0,7.0,13.0,37.0,46.0,46.0,4.0
2006-03-28,9.0,16.0,95.0,11.0,14.0,4.0,9.0,25.0,16.0,43.0,60.0,,,25.0,13.0,11.0,34.0,44.0,46.0,11.0
2006-03-29,11.0,28.0,86.0,3.0,15.0,6.0,13.0,23.0,11.0,34.0,79.0,4.0,6.0,20.0,5.0,7.0,29.0,34.0,46.0,5.0
2006-03-30,13.0,12.0,93.0,5.0,14.0,4.0,12.0,21.0,15.0,42.0,74.0,7.0,5.0,21.0,13.0,14.0,34.0,47.0,40.0,6.0
