Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-03-31,3.0,8.0,18.0,,3.0,5.0,2.0,3.0,1.0,8.0,19.0,,4.0,2.0,9.0,9.0,14.0,4.0,17.0,1.0
2006-04-01,1.0,7.0,26.0,3.0,2.0,5.0,4.0,3.0,9.0,10.0,26.0,1.0,8.0,3.0,1.0,5.0,14.0,1.0,22.0,
2006-04-02,,,41.0,,4.0,5.0,4.0,1.0,7.0,9.0,20.0,,7.0,,2.0,14.0,9.0,1.0,13.0,
2006-04-03,1.0,2.0,16.0,2.0,2.0,3.0,1.0,6.0,3.0,10.0,9.0,2.0,8.0,2.0,2.0,4.0,19.0,,17.0,1.0
2006-04-04,1.0,4.0,28.0,1.0,6.0,,3.0,6.0,6.0,13.0,11.0,1.0,9.0,3.0,6.0,10.0,21.0,,8.0,2.0
2006-04-05,1.0,3.0,20.0,1.0,3.0,,5.0,10.0,4.0,11.0,9.0,,7.0,3.0,2.0,11.0,21.0,2.0,11.0,2.0
2006-04-06,6.0,7.0,30.0,,3.0,3.0,2.0,4.0,3.0,8.0,13.0,,10.0,4.0,3.0,14.0,18.0,2.0,18.0,
2006-04-07,5.0,1.0,22.0,1.0,3.0,3.0,7.0,7.0,7.0,5.0,17.0,,3.0,,5.0,10.0,13.0,1.0,13.0,
2006-04-08,1.0,4.0,38.0,1.0,6.0,3.0,7.0,5.0,5.0,7.0,9.0,3.0,10.0,2.0,10.0,16.0,12.0,2.0,15.0,2.0
2006-04-09,,4.0,51.0,1.0,2.0,3.0,3.0,3.0,4.0,7.0,18.0,1.0,5.0,2.0,3.0,6.0,14.0,,16.0,
2006-04-10,1.0,8.0,54.0,3.0,5.0,,2.0,10.0,6.0,3.0,5.0,2.0,2.0,,2.0,7.0,14.0,1.0,19.0,
2006-04-11,3.0,5.0,64.0,1.0,7.0,2.0,2.0,9.0,9.0,9.0,17.0,1.0,6.0,3.0,3.0,9.0,17.0,1.0,20.0,
2006-04-12,1.0,6.0,56.0,,7.0,4.0,1.0,7.0,2.0,7.0,12.0,1.0,4.0,2.0,5.0,8.0,21.0,1.0,12.0,2.0
2006-04-13,2.0,1.0,82.0,,1.0,7.0,2.0,8.0,6.0,4.0,12.0,,6.0,4.0,3.0,17.0,9.0,,10.0,2.0
2006-04-14,5.0,4.0,34.0,,5.0,8.0,,6.0,5.0,13.0,7.0,,7.0,1.0,6.0,10.0,19.0,,15.0,
2006-04-15,5.0,9.0,34.0,2.0,3.0,7.0,4.0,4.0,6.0,1.0,23.0,1.0,5.0,4.0,4.0,13.0,22.0,,29.0,
2006-04-16,4.0,6.0,33.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,16.0,,3.0,6.0,3.0,15.0,19.0,2.0,19.0,2.0
2006-04-17,4.0,2.0,44.0,1.0,5.0,5.0,1.0,6.0,3.0,5.0,20.0,1.0,4.0,6.0,3.0,10.0,20.0,1.0,18.0,
2006-04-18,,5.0,35.0,3.0,5.0,4.0,,6.0,7.0,12.0,20.0,1.0,7.0,4.0,5.0,11.0,17.0,,13.0,1.0
2006-04-19,7.0,3.0,39.0,3.0,8.0,2.0,4.0,3.0,2.0,8.0,18.0,,4.0,1.0,10.0,18.0,15.0,,23.0,1.0
2006-04-20,2.0,6.0,29.0,2.0,5.0,4.0,2.0,5.0,4.0,6.0,17.0,2.0,6.0,3.0,2.0,13.0,24.0,1.0,15.0,
2006-04-21,2.0,3.0,28.0,,4.0,3.0,2.0,8.0,4.0,7.0,13.0,,5.0,3.0,4.0,16.0,20.0,1.0,19.0,1.0
2006-04-22,5.0,5.0,23.0,1.0,6.0,2.0,3.0,5.0,6.0,6.0,14.0,,4.0,,2.0,6.0,9.0,,11.0,
2006-04-23,,1.0,49.0,,7.0,11.0,2.0,4.0,4.0,6.0,15.0,1.0,10.0,4.0,3.0,7.0,18.0,,15.0,
2006-04-24,1.0,4.0,36.0,6.0,11.0,1.0,2.0,8.0,8.0,12.0,22.0,4.0,6.0,5.0,6.0,15.0,27.0,,12.0,
2006-04-25,1.0,5.0,29.0,,8.0,4.0,2.0,6.0,6.0,12.0,17.0,2.0,1.0,8.0,4.0,13.0,16.0,1.0,14.0,
